        soln	        time	        step	      Gypsum	    d_Gypsum	   si_Gypsum	
           6	           0	           0	  0.0000e+00	  0.0000e+00	   -999.9990	
           6	     3.94633	           1	  0.0000e+00	  0.0000e+00	   -999.9990	
           6	     7.89266	           2	  0.0000e+00	  0.0000e+00	   -999.9990	
           6	      11.839	           3	  0.0000e+00	  0.0000e+00	    -38.7998	
           6	     15.7853	           4	  0.0000e+00	  0.0000e+00	    -23.6744	
           6	     19.7316	           5	  0.0000e+00	  0.0000e+00	    -10.2698	
           6	      23.678	           6	  3.1918e-03	  3.1918e-03	      0.0000	
           6	     27.6243	           7	  6.3436e-03	  3.1518e-03	      0.0000	
           6	     31.5706	           8	  9.4498e-03	  3.1062e-03	      0.0000	
           6	      35.517	           9	  1.2520e-02	  3.0702e-03	      0.0000	
           6	     39.4633	          10	  1.5571e-02	  3.0513e-03	      0.0000	
           6	     43.4096	          11	  1.8621e-02	  3.0498e-03	      0.0000	
           6	      47.356	          12	  2.1683e-02	  3.0616e-03	      0.0000	
           6	     51.3023	          13	  2.4764e-02	  3.0810e-03	      0.0000	
           6	     55.2486	          14	  2.7867e-02	  3.1034e-03	      0.0000	
           6	     59.1949	          15	  3.0992e-02	  3.1250e-03	      0.0000	
           6	     63.1413	          16	  3.4136e-02	  3.1441e-03	      0.0000	
           6	     67.0876	          17	  3.7296e-02	  3.1598e-03	      0.0000	
           6	     71.0339	          18	  4.0468e-02	  3.1720e-03	      0.0000	
           6	     74.9803	          19	  4.3649e-02	  3.1812e-03	      0.0000	
           6	     78.9266	          20	  4.6837e-02	  3.1878e-03	      0.0000	
           6	     82.8729	          21	  5.0029e-02	  3.1925e-03	      0.0000	
           6	     86.8193	          22	  5.3225e-02	  3.1957e-03	      0.0000	
           6	     90.7656	          23	  5.6423e-02	  3.1978e-03	      0.0000	
           6	     94.7119	          24	  5.9622e-02	  3.1993e-03	      0.0000	
